iso,year,events_flood,events_drought,events_hurricane,deaths_flood,deaths_drought,deaths_hurricane,affected_flood,affected_drought,affected_hurricane
ARG,2008,1,0,0,0,0,0,85000,0,0
ARG,2009,2,1,0,9,0,0,34128,0,0
ARG,2012,1,0,0,6,0,0,10000,0,0
ARG,2013,1,0,0,52,0,0,350000,0,0
ARG,2014,3,0,0,3,0,0,7203,0,0
ARG,2015,3,0,0,11,0,0,141133,0,0
ARG,2016,2,0,0,0,0,0,85769,0,0
ARG,2017,3,0,0,1,0,0,51777,0,0
ARG,2018,3,1,0,0,0,0,63420,0,0
ARG,2019,3,1,0,6,8,0,35351,35000,0
ARG,2020,1,0,0,3,0,0,3000,0,0
ARG,2021,1,0,0,0,0,0,90,0,0
ARG,2023,1,0,1,0,0,0,38000,0,6000
ATG,2008,0,0,1,0,0,0,0,0,25800
ATG,2010,0,0,1,0,0,0,0,0,5000
ATG,2017,0,0,1,0,0,1,0,0,1800
BHS,2008,0,0,2,0,0,0,0,0,3000
BHS,2011,0,0,1,0,0,0,0,0,10000
BHS,2012,0,0,1,0,0,1,0,0,0
BHS,2013,1,0,0,0,0,0,1000,0,0
BHS,2015,0,0,1,0,0,33,0,0,6710
BHS,2016,0,0,1,0,0,0,0,0,0
BHS,2017,0,0,1,0,0,0,0,0,0
BHS,2019,0,0,1,0,0,356,0,0,14940
BLZ,2008,1,0,1,1,0,7,38000,0,10000
BLZ,2010,0,0,1,0,0,0,0,0,0
BLZ,2015,1,0,0,0,0,0,20000,0,0
BLZ,2016,0,0,1,0,0,0,0,0,10355
BLZ,2020,0,0,1,0,0,0,0,0,60000
BLZ,2022,0,0,1,0,0,0,0,0,172000
BOL,2008,0,1,0,0,0,0,0,27500,0
BOL,2009,1,0,0,0,0,0,63000,0,0
BOL,2010,1,1,0,26,0,0,227860,62500,0
BOL,2011,1,0,0,52,0,0,88825,0,0
BOL,2012,1,0,0,13,0,0,69085,0,0
BOL,2013,2,1,0,99,0,0,483995,340355,0
BOL,2014,1,1,0,38,0,0,185120,51180,0
BOL,2015,2,0,0,25,0,0,96890,0,0
BOL,2016,2,1,0,4,0,0,5420,665000,0
BOL,2018,1,0,0,6,0,0,12000,0,0
BOL,2019,2,0,0,60,0,0,349540,0,0
BOL,2020,2,0,0,26,0,0,37600,0,0
BOL,2021,7,0,0,50,0,0,303590,0,0
BOL,2022,1,0,0,60,0,0,375000,0,0
BOL,2023,4,1,0,22,10,0,208970,2050000,0
BRA,2008,4,0,0,200,0,0,1750929,0,0
BRA,2009,7,0,0,90,0,0,1859948,0,0
BRA,2010,3,1,0,363,0,0,231535,62000,0
BRA,2011,8,0,0,978,0,0,1185600,0,0
BRA,2012,2,1,0,3,0,0,290500,4000000,0
BRA,2013,5,0,0,119,0,0,204066,0,0
BRA,2014,4,1,0,41,0,0,550600,27000000,0
BRA,2015,4,0,0,11,0,0,298510,0,0
BRA,2016,2,0,0,33,0,0,50500,0,0
BRA,2017,1,0,0,14,0,0,104140,0,0
BRA,2018,2,0,0,7,0,0,1250,0,0
BRA,2019,7,0,0,47,0,0,46760,0,0
BRA,2020,5,1,0,151,0,0,12147,0,0
BRA,2021,8,1,0,62,0,0,1607517,0,0
BRA,2022,11,1,0,528,0,0,222950,0,0
BRA,2023,12,1,1,124,0,46,288132,608000,341000
BRB,2010,0,1,1,0,0,0,0,0,2500
BRB,2017,0,0,1,0,0,1,0,0,0
BRB,2021,0,0,1,0,0,0,0,0,3114
BRB,2023,0,0,1,0,0,0,0,0,179
CHL,2008,2,0,0,9,0,0,121755,0,0
CHL,2012,1,0,0,0,0,0,4300,0,0
CHL,2014,1,0,0,0,0,0,10917,0,0
CHL,2015,2,0,0,178,0,0,164240,0,0
CHL,2016,1,0,0,12,0,0,0,0,0
CHL,2017,3,0,0,9,0,0,4200,0,0
CHL,2019,1,0,0,6,0,0,600,0,0
CHL,2021,1,0,0,0,0,0,600,0,0
CHL,2023,2,0,0,7,0,0,53673,0,0
COL,2008,2,0,0,87,0,0,1200000,0,0
COL,2009,1,0,0,23,0,0,31250,0,0
COL,2010,3,0,0,418,0,0,2796097,0,0
COL,2011,2,0,0,273,0,0,1487261,0,0
COL,2012,3,0,0,77,0,0,73500,0,0
COL,2013,1,0,0,7,0,0,51781,0,0
COL,2014,4,0,0,77,0,0,72214,0,0
COL,2015,1,1,0,0,0,0,8105,0,0
COL,2016,2,0,0,10,0,0,0,0,0
COL,2017,4,0,1,35,0,0,30697,0,0
COL,2018,2,0,0,26,0,0,60000,0,0
COL,2019,5,0,0,52,0,0,39682,0,0
COL,2020,3,0,2,25,0,23,56610,0,277800
COL,2021,10,0,0,22,0,0,50434,0,0
COL,2022,9,0,1,81,0,0,231770,0,5000
COL,2023,2,0,0,1,0,0,45588,0,0
CRI,2008,3,0,1,7,0,4,154498,0,55000
CRI,2010,2,0,0,27,0,0,3106,0,0
CRI,2011,1,0,0,4,0,0,46695,0,0
CRI,2012,1,0,0,6,0,0,9523,0,0
CRI,2015,1,1,0,0,0,0,9666,0,0
CRI,2016,0,0,1,0,0,9,0,0,50000
CRI,2017,0,0,1,0,0,13,0,0,11500
CRI,2018,1,0,0,1,0,0,125190,0,0
CRI,2019,0,1,0,0,0,0,0,0,0
CRI,2020,0,0,1,0,0,0,0,0,25000
CRI,2021,1,0,0,3,0,0,200000,0,0
CRI,2022,0,0,1,0,0,0,0,0,300000
CUB,2008,1,0,4,0,0,7,20000,0,499445
CUB,2012,1,0,2,2,0,12,2859,0,45496
CUB,2013,1,0,0,2,0,0,227,0,0
CUB,2015,1,1,0,3,0,0,10089,100000,0
CUB,2016,0,0,1,0,0,0,0,0,190000
CUB,2017,0,0,1,0,0,10,0,0,10000000
CUB,2018,0,0,2,0,0,9,0,0,40540
CUB,2020,0,0,1,0,0,0,0,0,500
CUB,2021,0,0,2,0,0,0,0,0,0
CUB,2022,1,0,2,3,0,6,2300,0,3206780
CUB,2023,1,0,1,6,0,0,18500,0,0
DOM,2008,0,0,3,0,0,13,0,0,17000
DOM,2009,2,0,0,7,0,0,14565,0,0
DOM,2010,2,0,1,7,0,0,35200,0,12000
DOM,2011,1,0,2,4,0,7,11200,0,44000
DOM,2012,2,0,2,0,0,8,3070,0,42515
DOM,2013,1,0,0,0,0,0,0,0,0
DOM,2014,1,0,0,1,0,0,300,0,0
DOM,2015,2,0,1,2,0,0,20850,0,33
DOM,2016,2,0,1,15,0,6,2795400,0,39
DOM,2017,0,0,2,0,0,5,0,0,32300
DOM,2018,1,0,1,0,0,0,7390,0,0
DOM,2020,0,0,2,0,0,6,0,0,15595
DOM,2021,0,0,2,0,0,2,0,0,4178
DOM,2022,2,0,1,0,0,2,467,0,1434802
DOM,2023,2,0,1,35,0,3,311319,0,289083
ECU,2008,1,0,0,41,0,0,275000,0,0
ECU,2009,1,1,0,3,0,0,11805,107500,0
ECU,2010,2,0,0,14,0,0,6440,0,0
ECU,2011,1,0,0,0,0,0,3600,0,0
ECU,2012,1,0,0,29,0,0,71790,0,0
ECU,2013,1,1,0,0,0,0,25567,3165,0
ECU,2015,1,0,0,12,0,0,1185,0,0
ECU,2016,2,0,0,9,0,0,33955,0,0
ECU,2019,1,0,0,14,0,0,3000,0,0
ECU,2020,1,0,0,0,0,0,290,0,0
ECU,2021,2,0,0,6,0,0,18461,0,0
ECU,2022,5,0,0,76,0,0,35214,0,0
ECU,2023,2,0,0,30,0,0,80913,0,0
GRD,2010,0,1,0,0,0,0,0,0,0
GTM,2008,2,0,1,30,0,17,197300,0,0
GTM,2009,1,1,0,0,0,0,10800,2500000,0
GTM,2010,1,0,3,0,0,174,3270,0,399988
GTM,2011,3,0,1,59,0,5,534810,0,0
GTM,2012,0,1,0,0,0,0,0,266485,0
GTM,2014,1,1,1,6,0,5,87500,1300000,100000
GTM,2015,2,0,0,8,0,0,65136,0,0
GTM,2016,0,0,1,0,0,0,0,0,55
GTM,2017,4,0,1,1,0,8,42559,0,2762
GTM,2018,2,1,0,2,0,0,76945,1500000,0
GTM,2020,2,0,3,3,0,164,20070,0,2853156
GTM,2021,3,0,0,2,0,0,24615,0,0
GTM,2022,1,0,1,48,0,4,2890000,0,457300
GTM,2023,1,0,0,78,0,0,4400000,0,0
GUY,2008,1,0,0,0,0,0,100000,0,0
GUY,2010,0,1,0,0,0,0,0,0,0
GUY,2015,1,0,0,0,0,0,199000,0,0
GUY,2017,1,0,0,0,0,0,3274,0,0
GUY,2021,1,0,0,0,0,0,34500,0,0
GUY,2022,1,0,0,0,0,0,500,0,0
HND,2008,1,0,1,67,0,0,313350,0,0
HND,2009,0,1,0,0,0,0,0,45000,0
HND,2010,2,0,2,122,0,22,5000,0,16673
HND,2011,1,0,0,33,0,0,69798,0,0
HND,2012,0,1,0,0,0,0,0,125000,0
HND,2014,2,1,0,4,0,0,23000,2023000,0
HND,2016,1,0,1,6,0,1,450000,0,151
HND,2017,3,0,1,18,0,3,47970,0,120
HND,2018,1,1,0,6,0,0,6948,360000,0
HND,2020,1,0,3,3,0,129,17700,0,5145784
HND,2022,2,0,1,9,0,5,78457,0,144000
HND,2023,0,1,1,0,0,1,0,10300,0
HTI,2008,0,0,4,0,0,698,0,0,246160
HTI,2009,3,0,0,21,0,0,2796,0,0
HTI,2010,3,0,1,44,0,21,22085,0,5020
HTI,2011,2,0,2,36,0,3,4430,0,2500
HTI,2012,3,0,2,42,0,88,26465,0,176500
HTI,2013,1,0,0,6,0,0,0,0,0
HTI,2014,1,1,0,12,0,0,30000,1000000,0
HTI,2015,1,0,1,6,0,5,45000,0,0
HTI,2016,6,1,1,53,0,546,84050,3600000,2100000
HTI,2017,2,0,2,31,0,4,50000,0,40075
HTI,2019,2,0,0,14,0,0,4280,0,0
HTI,2020,0,0,1,0,0,39,0,0,44175
HTI,2021,1,0,2,7,0,0,13380,0,0
HTI,2022,2,0,0,7,0,0,13000,0,0
HTI,2023,2,0,0,80,0,0,225000,0,0
JAM,2008,0,0,2,0,0,13,0,0,4000
JAM,2010,0,0,1,0,0,15,0,0,2480
JAM,2012,0,0,1,0,0,1,0,0,215850
JAM,2014,0,1,0,0,0,0,0,91545,0
JAM,2016,0,0,1,0,0,0,0,0,125000
KNA,2008,0,0,1,0,0,0,0,0,0
KNA,2017,0,0,1,0,0,0,0,0,500
LCA,2010,1,1,1,0,0,14,2000,0,181000
LCA,2013,1,0,0,6,0,0,19984,0,0
LCA,2016,0,0,1,0,0,0,0,0,25000
LCA,2021,0,0,1,0,0,1,0,0,0
LCA,2022,1,0,0,0,0,0,5500,0,0
MEX,2008,1,0,1,12,0,2,20000,0,500000
MEX,2009,5,0,2,28,0,4,140170,0,112000
MEX,2010,2,0,4,66,0,43,1020000,0,555075
MEX,2011,3,1,5,77,0,43,440000,2500000,550450
MEX,2012,0,0,2,0,0,19,0,0,87000
MEX,2013,1,0,4,13,0,210,0,0,172000
MEX,2014,0,0,6,0,0,19,0,0,144000
MEX,2015,1,0,1,0,0,14,3000,0,15000
MEX,2016,5,0,2,25,0,65,50000,0,21500
MEX,2017,1,0,4,2,0,29,800,0,1410
MEX,2018,1,0,2,20,0,20,0,0,10000
MEX,2019,3,0,3,12,0,4,642,0,1200
MEX,2020,2,0,5,30,0,42,95100,0,4106
MEX,2021,3,0,5,30,0,20,12520,0,2871
MEX,2022,2,0,3,13,0,38,3150,0,16000
MEX,2023,1,0,1,11,0,104,0,0,988000
NIC,2008,2,0,1,17,0,13,14188,0,25000
NIC,2009,2,0,1,0,0,0,6885,0,19897
NIC,2010,2,0,2,66,0,5,75860,0,0
NIC,2011,1,0,0,17,0,0,143000,0,0
NIC,2012,1,0,0,9,0,0,29500,0,0
NIC,2013,1,0,0,27,0,0,14149,0,0
NIC,2014,1,1,0,0,0,0,60345,460000,0
NIC,2015,1,0,0,2,0,0,3750,0,0
NIC,2016,0,0,1,0,0,0,0,0,10570
NIC,2017,1,0,1,7,0,15,13565,0,39200
NIC,2018,1,1,0,4,0,0,13000,300000,0
NIC,2020,0,0,2,0,0,20,0,0,930000
NIC,2022,0,0,2,0,0,5,0,0,48000
PAN,2008,2,0,0,28,0,0,23832,0,0
PAN,2009,1,0,0,0,0,0,4248,0,0
PAN,2010,4,0,0,15,0,0,32642,0,0
PAN,2011,2,0,0,0,0,0,4000,0,0
PAN,2012,2,0,0,6,0,0,9416,0,0
PAN,2013,0,1,0,0,0,0,0,0,0
PAN,2014,1,0,0,9,0,0,116,0,0
PAN,2015,1,1,0,0,0,0,3500,0,0
PAN,2016,0,0,1,0,0,7,0,0,12000
PAN,2017,0,0,1,0,0,7,0,0,12000
PAN,2018,0,1,0,0,0,0,0,0,0
PAN,2020,1,0,2,11,0,83,150,0,5000
PAN,2021,2,0,0,1,0,0,30190,0,0
PAN,2022,1,0,0,0,0,0,150,0,0
PER,2008,1,0,0,40,0,0,450000,0,0
PER,2009,1,0,0,158,0,0,235886,0,0
PER,2010,1,0,0,20,0,0,80000,0,0
PER,2011,3,0,0,72,0,0,822838,0,0
PER,2012,1,0,0,14,0,0,0,0,0
PER,2013,2,0,0,68,0,0,180734,0,0
PER,2014,3,0,0,41,0,0,90178,0,0
PER,2015,2,0,0,9,0,0,150585,0,0
PER,2016,1,0,0,2,0,0,10000,0,0
PER,2017,3,0,0,200,0,0,2188000,0,0
PER,2019,3,0,0,61,0,0,9200,0,0
PER,2020,3,0,0,15,0,0,7228,0,0
PER,2021,8,0,0,23,0,0,29148,0,0
PER,2022,1,0,0,1,0,0,500,0,0
PER,2023,3,0,1,96,0,8,534494,0,45000
PRY,2008,0,1,0,0,4,0,0,18000,0
PRY,2009,1,1,0,0,0,0,12035,200000,0
PRY,2012,1,1,0,0,0,0,78945,1391900,0
PRY,2013,1,1,0,0,0,0,61400,75000,0
PRY,2014,2,0,0,0,0,0,233360,0,0
PRY,2015,2,0,0,12,0,0,140150,0,0
PRY,2016,0,1,0,0,0,0,0,0,0
PRY,2018,2,0,0,0,0,0,46300,0,0
PRY,2019,3,0,0,40,0,0,521197,0,0
PRY,2021,2,0,0,10,0,0,6000,0,0
PRY,2023,2,0,0,6,0,0,46656,0,0
SLV,2008,2,0,0,30,0,0,3000,0,0
SLV,2009,0,1,1,0,0,275,0,0,75000
SLV,2010,0,0,3,0,0,18,0,0,11750
SLV,2011,1,0,0,35,0,0,300000,0,0
SLV,2015,1,1,0,1,0,0,0,700000,0
SLV,2017,0,0,1,0,0,10,0,0,530
SLV,2018,1,1,0,4,0,0,7085,386610,0
SLV,2020,0,0,3,0,0,33,0,0,149840
SLV,2021,1,0,0,5,0,0,300,0,0
SLV,2022,0,0,2,0,0,11,0,0,9373
SLV,2023,0,0,1,0,0,3,0,0,500
SUR,2008,1,0,0,2,0,0,6548,0,0
SUR,2021,1,0,0,0,0,0,10100,0,0
SUR,2022,1,0,0,0,0,0,9000,0,0
TTO,2010,0,1,0,0,0,0,0,0,0
TTO,2018,1,0,0,0,0,0,150000,0,0
TTO,2022,1,0,0,0,0,0,100000,0,0
URY,2009,1,0,0,1,0,0,4000,0,0
URY,2015,3,0,0,2,0,0,35326,0,0
URY,2016,1,0,0,8,0,0,10355,0,0
URY,2017,1,0,0,0,0,0,6639,0,0
URY,2018,0,1,0,0,0,0,0,75000,0
URY,2019,3,0,0,0,0,0,13103,0,0
URY,2020,1,0,0,0,0,0,360,0,0
URY,2022,1,1,0,0,0,0,160,409115,0
URY,2023,1,1,0,0,0,0,3472,409115,0
VCT,2010,0,1,1,0,0,0,0,0,6000
VCT,2011,1,0,0,0,0,0,275,0,0
VCT,2013,1,0,0,12,0,0,16885,0,0
VCT,2016,1,0,1,0,0,1,25000,0,0
VCT,2021,0,0,1,0,0,0,0,0,129
VCT,2023,0,0,1,0,0,0,0,0,150
VEN,2008,1,0,0,8,0,0,1500,0,0
VEN,2009,0,1,0,0,0,0,0,0,0
VEN,2010,1,0,1,41,0,8,94800,0,0
VEN,2011,3,0,0,17,0,0,1668,0,0
VEN,2012,1,0,0,0,0,0,11000,0,0
VEN,2015,1,0,0,0,0,0,45297,0,0
VEN,2016,1,0,0,0,0,0,0,0,0
VEN,2018,2,0,0,2,0,0,10700,0,0
VEN,2019,1,0,0,6,0,0,2000,0,0
VEN,2020,1,0,0,3,0,0,3690,0,0
VEN,2021,2,0,0,46,0,0,1401300,0,0
VEN,2022,5,0,0,33,0,0,91700,0,0
VEN,2023,1,0,0,12,0,0,112,0,0
